date,average_difficulty,tx_count,tx_volume,heuristical_volume,median_tx_value,active_addresses,fees,median_fee,payment_count,reward,block_size,block_count
2014-04-04,441.856170658,1526,5390672565784,4275459675374,1191183840,2692,148732645,100000,1866,1093348732645,919004,574
2014-04-05,488.384873337,1410,5762627146949,4924778629093,1414313870,2621,126554820,100000,1774,1060426554820,896744,575
2014-04-06,455.276734118,1503,7973504857714,7308751360263,1229407707,2691,145106149,100000,1812,1057145106149,968065,560
2014-04-07,417.651264151,1500,11792077226289,10776853917311,1357298877,2727,125494793,100000,1865,1128625494793,859591,585
2014-04-08,517.658869034,1527,13086600567341,10358449439649,1250408881,2661,165406015,100000,1866,1025765406015,888208,567
2014-04-09,489.150945399,1563,5219439469729,4468533963233,1294095760,2673,162338339,100000,1842,1066962338339,906895,578
2014-04-10,517.645998978,1591,5685622880441,4894586013026,1251001667,2696,191412245,100000,1874,1047591412245,1095967,578
2014-04-11,470.706731444,1680,11302574845673,7847756231457,1300000000,2839,184505712,100000,2242,1068484505712,1138208,573
2014-04-12,509.98301163,1510,4660477670768,3721425609463,1208487002,2725,227300324,100000,1939,1041027300324,1095371,572
2014-04-13,441.012468435,1458,4784647219580,4124280384000,1298108616,2596,181661293,100000,1801,1091281661293,1035289,574
2014-04-14,446.581487835,1629,11164705316097,4863935975033,1197596470,2883,196132042,100000,1857,1080196132042,1077285,570
2014-04-15,432.686718151,1444,6542951745029,5822428293374,1412631516,2686,247793058,100000,1746,1102347793058,1352684,576
2014-04-16,405.092218266,1564,9483041208822,8671542861115,1371334413,2789,188216745,100000,1901,1115488216745,1053151,573
2014-04-17,448.668587422,1391,11369467064699,10001333384564,1297003712,2463,178833568,100000,1742,1088778833568,991979,574
2014-04-18,453.065696243,2139,187994205093888,61172642844682,1621191831,4083,362991491,100000,2543,1091562991491,2152066,579
2014-04-19,437.672359319,1568,16550306348444,15277136804548,1242805767,2951,167804976,100000,1954,1091867804976,1004176,572
2014-04-20,421.315709993,1598,11296217546957,7392602442895,1162966585,2798,197277091,100000,1810,1095597277091,967888,569
2014-04-21,386.212486556,1702,16006351917768,10752244419151,1226920803,2927,175753075,100000,1790,1141475753075,980229,578
2014-04-22,411.784680852,1882,16696503265057,15486375766163,1295829768,3360,207368011,100000,2036,1109907368011,1164986,572
2014-04-23,527.68722523,2069,27495858644713,26140622435614,1346436991,3772,365910001,100000,2421,1036565910001,1541831,577
2014-04-24,552.020923748,2173,45015476073861,40196744647443,1477404166,4193,265400280,100000,2442,1026065400280,1579057,579
2014-04-25,693.299553738,2319,57759073167654,46851785447471,1378761403,5410,501911090,100000,2582,921701911090,2354661,569
2014-04-26,878.88549848,2557,109815331599935,82027983466201,1119134290,5258,496285791,100000,2932,840796285791,2306403,578
2014-04-27,977.658759461,2305,25527499867523,22832990554609,900000000,4700,266981718,100000,2780,791666981718,1450608,576
2014-04-28,993.882034354,2301,8430496046568,6597289514312,1300000000,4618,268481032,100000,2570,781168481032,1376742,575
2014-04-29,938.699877045,1645,13504188563859,12743014340052,1000372522,3423,198769172,100000,2259,804598769172,1235503,574
2014-04-30,940.906944515,2100,16938494922619,15425041108817,1015145000,4302,249615880,100000,2553,802649615880,1302171,575
2014-05-01,996.194850179,2057,22117095525987,20395963355200,778610000,4468,255548372,100000,2479,776055548372,1343367,571
2014-05-02,939.60522254,1889,21734451212058,17181094943317,656943592,4207,226916824,100000,2239,801826916824,1253916,571
2014-05-03,796.330787904,1929,31570229780183,30734254528138,466838104,4147,216662828,100000,2162,876216662828,1457517,574
2014-05-04,913.127479515,2819,32074338516496,29401354898139,492210000,5478,290459263,100000,3463,816490459263,1788547,575
2014-05-05,1028.53847678,3368,10058032804924,9133293036035,360545000,6635,454346784,100000,3747,774754346784,2457175,580
2014-05-06,1114.07324337,2040,6480266141499,5916340371717,539148061,4229,263069463,100000,2326,718963069463,1204392,566
2014-05-07,1256.67475954,1634,16710198186108,13954214681697,886876964,3224,164106147,100000,1868,684464106147,1031791,580
2014-05-08,1141.18422632,2087,5511565950446,4586855869373,685740147,3245,185092681,100000,1922,720585092681,1650745,574
2014-05-09,1093.23750113,2297,47956695551350,32102380085696,987299059,4431,337190853,100000,2383,729837190853,2284712,570
2014-05-10,1274.12331265,2329,49124009635750,35048206798583,901553885,5296,362268930,100000,2455,678262268930,2297483,574
2014-05-11,1524.71138172,2033,31570275297967,27054500139669,642442983,4412,267859301,100000,2302,592567859301,1706713,574
2014-05-12,1372.82627388,2298,153276665739155,56475630831849,788024285,4779,368052362,100000,2688,640068052362,1567879,575
2014-05-13,1482.62423915,2162,133373308368051,46074945080378,787215595,4398,293550127,100000,2427,601093550127,1951559,571
2014-05-14,1425.74094675,2488,89308090571831,52833646507474,800000000,5565,596338335,100000,2720,622796338335,2210963,575
2014-05-15,2420.4061897,3557,145025133937913,49672010705053,689045780,8079,656098358,100000,3737,381156098358,3139769,554
2014-05-16,2439.40457054,2303,24467323998734,21971614185997,572039024,5387,464778847,100000,2505,371064778847,1765191,544
2014-05-17,2207.88361773,1950,17009067226799,15764449999804,542128177,4629,354551656,100000,2164,412754551656,1384759,552
2014-05-18,1882.35186951,2025,30063233748116,26362312756396,514394268,4723,333334164,100000,2327,471933334164,1563621,546
2014-05-19,1956.51462006,2423,56864904000459,32044981342632,590660182,5329,400714800,100000,2703,457500714800,1758866,547
